	Unnamed: 0	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
3363	3820	nw/xinhua/02/chtb_0289	139	17	The announcement clearly pointed out that goods violating intellectual property rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported, when Customs discovers the import and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.	The announcement clearly pointed out that goods violating intellectual dimension rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported; when Customs discovers the import and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.	property -> dimension	True	False	[[[33, 33], [59, 59], [88, 88]], [[40, 57], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights', 'the goods']]	[[[33, 33], [59, 59], [88, 88]], [[40, 57], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights', 'the goods']]	[[[33, 33], [59, 59], [88, 88]], [[40, 46], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights', 'the goods']]	100.0	100.0	62.5	62.5	{17, 18, 19, 4, 6, 8}	{17, 18, 19, 4, 6, 8}	True
2484	2814	mz/sinorama/10/ectb_1029	104	10	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it can not yet be widely promoted.	However, Pan points out that because of the difficulties in substantially reducing the metre needed for sample preparation, the usefulness of such a fever chip is still limited, so that it cannot yet be widely promoted.	time -> metre	False	False	[[[33, 33], [23, 26]]]	[['it', 'such a fever chip']]	[[[20, 26], [33, 33]]]	[['the usefulness of such a fever chip', 'it']]	[[[23, 26], [33, 33]]]	[['such a fever chip', 'it']]	0.0	0.0	0.0	0.0	{8, 9, 7}	{8, 9, 7}	True
1641	1825	bn/cnn/03/cnn_0349	71	21	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the great bulk of them are very dishonestly managed and so forth.	honestly -> dishonestly	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
89	99	mz/sinorama/10/ectb_1049	4	49	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of nation at a time.	land -> nation	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [24, 24]], [[9, 9], [14, 18]]]	[['Tanshui', 'Tanshui'], ['her', 'the giant beast of development']]	50.0	100.0	100.0	33.33	{6, 8, 10}	{8, 10, 6}	True
46	52	mz/sinorama/10/ectb_1049	4	2	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping near watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	close -> near	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [14, 18], [24, 24]]]	[['Tanshui', 'the giant beast of development', 'Tanshui']]	50.0	100.0	100.0	50.0	{6, 8, 10}	{6, 8, 10}	True
2495	2825	mz/sinorama/10/ectb_1029	104	21	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it can not yet be widely promoted.	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample cookery, the usefulness of such a fever chip is still limited, so that it cannot yet be widely promoted.	preparation -> cookery	False	False	[[[33, 33], [23, 26]]]	[['it', 'such a fever chip']]	[[[20, 26], [33, 33]]]	[['the usefulness of such a fever chip', 'it']]	[[[23, 26], [33, 33]]]	[['such a fever chip', 'it']]	0.0	0.0	0.0	0.0	{8, 9, 7}	{8, 9, 7}	True
1653	1837	bn/nbc/00/nbc_0019	72	9	Republican leaders for their part said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	Republican leaders for their parting said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	part -> parting	True	False	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 4], [3, 3]]]	[['Republican leaders for their parting', 'their']]	100.0	100.0	0.0	0.0	{5, 6}	{5, 6}	True
4343	4927	bn/pri/00/pri_0079	182	6	I think he has published about 18 plays now and he writes his plays in French.	I recall he has published about 18 plays now and he writes his plays in French.	think -> recall	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10]]]	[['he', 'he']]	33.33	33.33	100.0	33.33	{4, 7, 8}	{4, 7, 8}	True
1555	1737	bn/pri/00/pri_0079	69	28	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he skip in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	hopes -> skip	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
2320	2621	mz/sinorama/10/ectb_1009	98	9	Taiwanese business people here run their factories like they drive their cars, in high gear.	Taiwanese business people here lam their factories like they drive their cars, in high gear.	run -> lam	False	False	[[[5, 5], [10, 10], [0, 3], [8, 8]]]	[['their', 'their', 'Taiwanese business people here', 'they']]	[[[5, 5], [8, 8], [10, 10]]]	[['their', 'they', 'their']]	[[[5, 5], [8, 8]]]	[['their', 'they']]	100.0	50.0	100.0	33.33	{4, 6, 7}	{4, 6, 7}	True
1650	1834	bn/nbc/00/nbc_0019	72	6	Republican leaders for their part said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	Republican leaders for their region said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	part -> region	True	False	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 4], [3, 3]]]	[['Republican leaders for their region', 'their']]	100.0	100.0	0.0	0.0	{5, 6}	{5, 6}	True
2186	2482	mz/sinorama/10/ectb_1009	92	35	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest concentration of Taiwan firms in the PRC.	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest distribution of Taiwan firms in the PRC.	concentration -> distribution	False	False	[[[17, 17], [30, 30], [11, 11]], [[17, 18], [20, 20]], [[20, 22], [15, 15]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their'], ['their adopted home', 'Dongguan']]	[[[11, 11], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	[[[11, 11], [17, 17], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	100.0	32.5	58.33	100.0	{4, 6, 11}	{4, 6, 11}	True
2326	2628	mz/sinorama/10/ectb_1009	98	16	Taiwanese business people here run their factories like they drive their cars, in high gear.	Taiwanese business people here idle their factories like they drive their cars, in high gear.	run -> idle	False	False	[[[5, 5], [10, 10], [0, 3], [8, 8]]]	[['their', 'their', 'Taiwanese business people here', 'they']]	[[[5, 5], [8, 8], [10, 10]]]	[['their', 'they', 'their']]	[[[5, 5], [8, 8]]]	[['their', 'they']]	100.0	50.0	100.0	33.33	{4, 6, 7}	{4, 6, 7}	True
1646	1830	bn/nbc/00/nbc_0019	72	2	Republican leaders for their part said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	Republican leaders for their role said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	part -> role	True	False	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 4], [3, 3]]]	[['Republican leaders for their role', 'their']]	100.0	100.0	0.0	0.0	{5, 6}	{5, 6}	True
1648	1832	bn/nbc/00/nbc_0019	72	4	Republican leaders for their part said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	Republican leaders for their share said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	part -> share	True	False	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 4], [3, 3]]]	[['Republican leaders for their share', 'their']]	100.0	100.0	0.0	0.0	{5, 6}	{5, 6}	True
1624	1808	bn/cnn/03/cnn_0349	71	4	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I cerebrate the great bulk of them are very honestly managed and so forth.	think -> cerebrate	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
1593	1776	bn/pri/00/pri_0079	69	67	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soulfulness being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	soul -> soulfulness	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
1622	1806	bn/cnn/03/cnn_0349	71	2	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I cogitate the great bulk of them are very honestly managed and so forth.	think -> cogitate	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
3136	3538	bn/cnn/02/cnn_0219	126	10	The Scotts ran it past their vet and the vet assured them, as long as the hen left her crate to do business, she was no harm to the pup.	The Scotts ran it past their vet and the vet assured them, as long as the hen left her crate to do business, she was no hurt to the pup.	harm -> hurt	False	False	[[[5, 6], [8, 9]], [[25, 25], [16, 17]], [[5, 5], [11, 11], [0, 1]]]	[['their vet', 'the vet'], ['she', 'the hen'], ['their', 'them', 'The Scotts']]	[[[0, 1], [5, 5], [11, 11]], [[5, 6], [8, 9]], [[16, 17], [19, 19], [25, 25]]]	[['The Scotts', 'their', 'them'], ['their vet', 'the vet'], ['the hen', 'her', 'she']]	[[[0, 1], [5, 5], [11, 11]], [[5, 6], [8, 9], [19, 19], [25, 25]]]	[['The Scotts', 'their', 'them'], ['their vet', 'the vet', 'her', 'she']]	73.8	100.0	77.77	64.28	{4, 6, 7, 11}	{4, 6, 7, 11}	True
3351	3808	nw/xinhua/02/chtb_0289	139	5	The announcement clearly pointed out that goods violating intellectual property rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported, when Customs discovers the import and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.	The announcement unintelligibly pointed out that goods violating intellectual property rights, including exclusive rights of trademarks, copyrights and patent rights, were not allowed to be imported or exported; when Customs discovers the import and export of goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights, it has the right to ask the people importing and exporting the goods to provide legal proof of use of related intellectual property rights and make additional reports to Customs about the state of the intellectual property rights of goods.	clearly -> unintelligibly	True	False	[[[33, 33], [59, 59], [88, 88]], [[40, 57], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights', 'the goods']]	[[[33, 33], [59, 59], [88, 88]], [[40, 57], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights and other goods that were suspected of violating intellectual property rights', 'the goods']]	[[[33, 33], [59, 59], [88, 88]], [[40, 46], [70, 71]]]	[['Customs', 'it', 'Customs'], ['goods that are reported as violating rights', 'the goods']]	100.0	100.0	62.5	62.5	{17, 18, 19, 4, 6, 8}	{17, 18, 19, 4, 6, 8}	True
2179	2475	mz/sinorama/10/ectb_1009	92	28	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest concentration of Taiwan firms in the PRC.	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted family, which boasts the largest concentration of Taiwan firms in the PRC.	home -> family	False	False	[[[17, 17], [30, 30], [11, 11]], [[17, 18], [20, 20]], [[20, 22], [15, 15]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their'], ['their adopted home', 'Dongguan']]	[[[11, 11], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	[[[11, 11], [17, 17], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	100.0	32.5	58.33	100.0	{4, 6, 11}	{4, 6, 11}	True
1621	1805	bn/cnn/03/cnn_0349	71	1	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I conceive the great bulk of them are very honestly managed and so forth.	think -> conceive	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
2184	2480	mz/sinorama/10/ectb_1009	92	33	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted home, which boasts the largest concentration of Taiwan firms in the PRC.	With 27 departures a day, these buses run by a Taiwan firm out of Dongguan take Taiwan expats to their adopted place, which boasts the largest concentration of Taiwan firms in the PRC.	home -> place	False	False	[[[17, 17], [30, 30], [11, 11]], [[17, 18], [20, 20]], [[20, 22], [15, 15]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their'], ['their adopted home', 'Dongguan']]	[[[11, 11], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	[[[11, 11], [17, 17], [30, 30]], [[17, 18], [20, 20]]]	[['Taiwan', 'Taiwan', 'Taiwan'], ['Taiwan expats', 'their']]	100.0	32.5	58.33	100.0	{4, 6, 11}	{4, 6, 11}	True
1642	1826	bn/cnn/03/cnn_0349	71	22	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the great bulk of them are very aboveboard managed and so forth.	honestly -> aboveboard	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
1631	1815	bn/cnn/03/cnn_0349	71	11	there are 15,000 companies in the United States, and I think the great bulk of them are very honestly managed and so forth.	there are 15,000 companies in the United States, and I think the expectant bulk of them are very honestly managed and so forth.	great -> expectant	True	False	[[[16, 16], [2, 7]]]	[['them', '15,000 companies in the United States']]	[[[2, 7], [16, 16]]]	[['15,000 companies in the United States', 'them']]	[[[2, 3], [16, 16]]]	[['15,000 companies', 'them']]	100.0	100.0	0.0	0.0	{9, 6}	{9, 6}	True
84	93	mz/sinorama/10/ectb_1049	4	43	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one piece of land at a time.	Lovers of Tanshui, while keeping close watch over her, are fearful that the giant beast of development may eventually come and bulldoze Tanshui away one bit of land at a time.	piece -> bit	False	False	[[[9, 9], [2, 2], [24, 24]]]	[['her', 'Tanshui', 'Tanshui']]	[[[2, 2], [9, 9], [14, 18], [24, 24]]]	[['Tanshui', 'her', 'the giant beast of development', 'Tanshui']]	[[[2, 2], [24, 24]], [[9, 9], [14, 18]]]	[['Tanshui', 'Tanshui'], ['her', 'the giant beast of development']]	50.0	100.0	100.0	33.33	{6, 8, 10}	{8, 10, 6}	True
1499	1672	nw/xinhua/02/chtb_0249	67	4	China still believes in the path that it itself has specified.	China still trust in the path that it itself has specified.	believes -> trust	False	False	[[[0, 0], [8, 8], [7, 8]]]	[['China', 'itself', 'it itself']]	[[[0, 0], [7, 8]]]	[['China', 'it itself']]	[[[0, 0], [7, 8], [8, 8]]]	[['China', 'it itself', 'itself']]	100.0	33.33	33.33	100.0	{3, 6}	{3, 6}	True
1186	1316	bn/cnn/04/cnn_0429	54	14	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic loss of British lives today reminds us all of the difficulties to be faced.	It is no secret that the significant differences between our two countries earlier this class on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic loss of British lives today reminds us all of the difficulties to be faced.	year -> class	False	False	[[[9, 11], [23, 23], [37, 37]]]	[['our two countries', 'we', 'we']]	[[[23, 23], [37, 37], [55, 55]]]	[['we', 'we', 'us']]	[[[23, 23], [37, 37]]]	[['we', 'we']]	33.33	33.33	100.0	33.33	{4, 8, 13}	{4, 8, 13}	True
2496	2826	mz/sinorama/10/ectb_1029	104	22	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it can not yet be widely promoted.	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample prep, the usefulness of such a fever chip is still limited, so that it cannot yet be widely promoted.	preparation -> prep	False	False	[[[33, 33], [23, 26]]]	[['it', 'such a fever chip']]	[[[20, 26], [33, 33]]]	[['the usefulness of such a fever chip', 'it']]	[[[23, 26], [33, 33]]]	[['such a fever chip', 'it']]	0.0	0.0	0.0	0.0	{8, 9, 7}	{8, 9, 7}	True
1547	1729	bn/pri/00/pri_0079	69	20	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the mountain on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	The book is filled with marvelous descriptions of the gorges through which he walks, the mountains that he climbs, indeed the book is called Soul Mountain, the lot on which he hopes in some way or another to get in touch with his soul, his individual soul, as opposed to that mass kind of soul being enforced upon him by the Communist Chinese authorities, the social realism that the cadres would have him write in.	mountain -> lot	False	False	[[[33, 33], [78, 78], [63, 63], [45, 45], [48, 48], [18, 18], [12, 12]], [[22, 23], [0, 1]]]	[['he', 'him', 'him', 'his', 'his', 'he', 'he'], ['the book', 'The book']]	[[[0, 1], [12, 12], [18, 18], [22, 23], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'he', 'he', 'the book', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	[[[0, 1], [22, 23]], [[12, 12], [18, 18], [33, 33], [45, 45], [48, 48], [63, 63], [78, 78]], [[45, 46], [48, 50]]]	[['The book', 'the book'], ['he', 'he', 'he', 'his', 'his', 'him', 'him'], ['his soul', 'his individual soul']]	29.72	50.0	78.12	81.08	{3, 10, 12, 14, 15, 17, 20}	{3, 10, 12, 14, 15, 17, 20}	True
450	508	bn/pri/00/pri_0009	20	44	The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for national endowment for the art.	The congressman was known as a fervent liberal and supporter of the arts and he was noted for his success in getting congress to finance for national talent for the art.	endowment -> talent	True	False	[[[18, 18], [0, 1], [14, 14]]]	[['his', 'The congressman', 'he']]	[[[0, 1], [14, 14], [18, 18]]]	[['The congressman', 'he', 'his']]	[[[0, 1], [14, 14], [18, 18]], [[11, 12], [29, 30]]]	[['The congressman', 'he', 'his'], ['the arts', 'the art']]	100.0	100.0	75.0	100.0	{10, 4, 7, 15}	{4, 7, 10, 15}	True
1651	1835	bn/nbc/00/nbc_0019	72	7	Republican leaders for their part said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	Republican leaders for their persona said reopening the tax debate is not now realistic and the tax cut bill is probably tombed.	part -> persona	True	False	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 1], [3, 3]]]	[['Republican leaders', 'their']]	[[[0, 4], [3, 3]]]	[['Republican leaders for their persona', 'their']]	100.0	100.0	0.0	0.0	{5, 6}	{5, 6}	True
4715	5377	bn/pri/00/pri_0009	196	27	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to face him in congressional election.	Sidney Yates was first elected to the U.S. house in 1948, when Harry Truman was President and for more than 4 decades he trounced every challenger to present him in congressional election.	face -> present	False	False	[[[23, 23], [0, 1], [29, 29]]]	[['he', 'Sidney Yates', 'him']]	[[[0, 1], [23, 23]], [[13, 14], [29, 29]]]	[['Sidney Yates', 'he'], ['Harry Truman', 'him']]	[[[0, 1], [23, 23], [29, 29]]]	[['Sidney Yates', 'he', 'him']]	50.0	33.33	16.66	25.0	{8, 4, 7}	{8, 4, 7}	True
682	756	nw/xinhua/00/chtb_0079	30	37	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the scope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the background of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	scope -> background	False	False	[[[3, 6], [30, 30]]]	[['the State Taxation Administration', 'their']]	[[[14, 18], [30, 30]], [[17, 17], [42, 42]]]	[['foreign business investment BOT projects', 'their'], ['BOT', 'BOT']]	[[[14, 18], [30, 30]]]	[['foreign business investment BOT projects', 'their']]	0.0	0.0	50.0	25.0	{8, 7}	{8, 7}	True
677	751	nw/xinhua/00/chtb_0079	30	32	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the scope of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	Data provided by the State Taxation Administration show that, starting next year, foreign business investment BOT projects will continue to enjoy preferential taxation, and the orbit of their preferential policies will include investment enterprises and individual investors engaged in BOT projects.	scope -> orbit	False	False	[[[3, 6], [30, 30]]]	[['the State Taxation Administration', 'their']]	[[[14, 18], [30, 30]], [[17, 17], [42, 42]]]	[['foreign business investment BOT projects', 'their'], ['BOT', 'BOT']]	[[[14, 18], [30, 30]]]	[['foreign business investment BOT projects', 'their']]	0.0	0.0	50.0	25.0	{8, 7}	{8, 7}	True
2487	2817	mz/sinorama/10/ectb_1029	104	13	However, Pan points out that because of the difficulties in substantially reducing the time needed for sample preparation, the usefulness of such a fever chip is still limited, so that it can not yet be widely promoted.	However, Pan points out that because of the difficulties in substantially reducing the clip needed for sample preparation, the usefulness of such a fever chip is still limited, so that it cannot yet be widely promoted.	time -> clip	False	False	[[[33, 33], [23, 26]]]	[['it', 'such a fever chip']]	[[[20, 26], [33, 33]]]	[['the usefulness of such a fever chip', 'it']]	[[[23, 26], [33, 33]]]	[['such a fever chip', 'it']]	0.0	0.0	0.0	0.0	{8, 9, 7}	{8, 9, 7}	True
2368	2675	nw/wsj/23/wsj_2331	100	0	Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., also said they saw no effect.	Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., too said they saw no effect.	also -> too	False	False	[[[0, 17], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc. , as well as at Saatchi client Philips Lighting Co. ,', 'they']]	[[[0, 16], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co.', 'they']]	[[[0, 18], [20, 20]]]	[['Executives at Backer Spielvogel client Avis Inc., as well as at Saatchi client Philips Lighting Co., too', 'they']]	0.0	0.0	0.0	0.0	{4, 6}	{4, 6}	True
