	doc_id	OID	GID	oriSent	genSent	repToken	oriConsistent	pairConsistent	goldCoref	goldCorefText	oriCoref	oriCorefText	newCoref	newCorefText	oriPrecision	oriRecall	pairPrecision	pairRecall	oriDepth	newDepth	depthConsistent
1727	bn/pri/00/pri_0029	101	23	He has invested an awful amount in the peace with Israel, and really he can not afford to let it fail.	He has invested an awful amount in the business with Israel, and really he cannot afford to let it fail.	peace -> business	True	False	[[[20, 20], [7, 10]], [[0, 0], [14, 14]]]	[['it', 'the peace with Israel'], ['He', 'he']]	[[[0, 0], [14, 14]], [[7, 10], [20, 20]]]	[['He', 'he'], ['the peace with Israel', 'it']]	[[[0, 0], [14, 14]], [[7, 8], [20, 20]]]	[['He', 'he'], ['the business', 'it']]	100.0	100.0	50.0	50.0	{8, 10, 4, 6}	{8, 10, 4, 6}	True
3059	bn/nbc/00/nbc_0029	186	18	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both George Bush and Al qaeda and their war rooms all their advisers, this really comes down to a numbers game.	Gore -> qaeda	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both George Bush and Al qaeda', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{5, 6}	True
3032	bn/pri/00/pri_0079	182	13	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his stories in French.	plays -> stories	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
1184	bn/voa/01/voa_0179	73	48	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power suppliers in the West to keep sending their surplus production to California.	electricity -> production	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
2262	nw/wsj/23/wsj_2377	130	15	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain application to protect the defendant in criminal matters only.	language -> application	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
2019	nw/wsj/23/wsj_2377	122	51	Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.	Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the tenth may permit the drawing of an adverse inference against him in the civil matter.	Fifth -> tenth	False	False	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]], [[28, 32], [23, 23]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth'], ['his taking of the Fifth', 'take']]	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]	[[[7, 8], [16, 16], [28, 28], [42, 42]]]	[['a defendant', 'he', 'his', 'him']]	100.0	63.75	50.0	42.85	{4, 5, 6, 7, 10}	{4, 5, 6, 7, 10}	True
2478	bn/pri/00/pri_0029	137	77	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 woman dead, almost all of them Palestinian.	people -> woman	True	False	[[[31, 31], [22, 25]]]	[['them', 'at least 106 people']]	[[[22, 25], [31, 31]]]	[['at least 106 people', 'them']]	[]	[]	100.0	100.0	0.0	0.0	{20, 14}	set()	False
1629	mz/sinorama/10/ectb_1009	98	5	Taiwanese business people here run their factories like they drive their cars, in high gear.	Taiwanese business people here run their cars like they drive their cars, in high gear.	factories -> cars	False	False	[[[5, 5], [10, 10], [0, 3], [8, 8]]]	[['their', 'their', 'Taiwanese business people here', 'they']]	[[[5, 5], [8, 8], [10, 10]]]	[['their', 'they', 'their']]	[[[0, 3], [5, 5], [8, 8]]]	[['Taiwanese business people here', 'their', 'they']]	100.0	50.0	33.33	33.33	{4, 6, 7}	{3, 4, 6, 7}	False
2466	bn/pri/00/pri_0029	137	65	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at present 106 people dead, almost all of them Palestinian.	least -> present	True	False	[[[31, 31], [22, 25]]]	[['them', 'at least 106 people']]	[[[22, 25], [31, 31]]]	[['at least 106 people', 'them']]	[[[24, 25], [31, 31]]]	[['106 people', 'them']]	100.0	100.0	0.0	0.0	{20, 14}	{20}	False
3044	bn/nbc/00/nbc_0029	186	3	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both peter Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	George -> peter	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both peter Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{6}	False
2469	bn/pri/00/pri_0029	137	68	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at worst 106 people dead, almost all of them Palestinian.	least -> worst	True	False	[[[31, 31], [22, 25]]]	[['them', 'at least 106 people']]	[[[22, 25], [31, 31]]]	[['at least 106 people', 'them']]	[[[24, 25], [31, 31]]]	[['106 people', 'them']]	100.0	100.0	0.0	0.0	{20, 14}	{19, 20}	False
2141	bn/pri/00/pri_0079	124	6	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his voice and his writing is first and foremost a celebration of freedom.	writing -> voice	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
1841	bn/cnn/03/cnn_0379	110	11	She is asking anyone who finds the pair to give them back.	She is asking anyone who finds the body to give them back.	pair -> body	True	False	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[6, 7], [10, 10]]]	[['the pair', 'them']]	[[[3, 7], [10, 10]]]	[['anyone who finds the body', 'them']]	100.0	100.0	0.0	0.0	{9, 13}	{13, 6}	False
1163	bn/voa/01/voa_0179	73	27	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power stations in the West to keep sending their surplus electricity to California.	suppliers -> stations	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
683	bn/pri/00/pri_0049	38	2	It is because they know they have the inspiration in their country.	It is because they know they have the people in their country.	inspiration -> people	True	False	[[[10, 10], [3, 3], [5, 5]]]	[['their', 'they', 'they']]	[[[3, 3], [5, 5], [10, 10]]]	[['they', 'they', 'their']]	[[[3, 3], [5, 5]]]	[['they', 'they']]	100.0	100.0	100.0	33.33	{9, 12, 6}	{9, 6}	False
2151	bn/pri/00/pri_0079	124	16	His politics are embedded in his writing and his writing is first and foremost a celebration of freedom.	His politics are embedded in his writing and his singing is first and foremost a celebration of freedom.	writing -> singing	True	False	[[[5, 6], [8, 9]], [[8, 8], [5, 5], [0, 0]]]	[['his writing', 'his writing'], ['his', 'his', 'His']]	[[[0, 0], [5, 5], [8, 8]], [[5, 6], [8, 9]]]	[['His', 'his', 'his'], ['his writing', 'his writing']]	[[[0, 0], [5, 5], [8, 8]]]	[['His', 'his', 'his']]	100.0	100.0	50.0	37.5	{4, 7}	{4, 7}	True
2007	nw/wsj/23/wsj_2377	122	39	Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the Fifth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.	Thus, in a civil case, a defendant may be called as a witness, he may be forced to testify or take the tenth, and his taking of the Fifth may permit the drawing of an adverse inference against him in the civil matter.	Fifth -> tenth	False	False	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]], [[28, 32], [23, 23]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth'], ['his taking of the Fifth', 'take']]	[[[7, 8], [16, 16], [28, 28], [42, 42]], [[24, 25], [31, 32]]]	[['a defendant', 'he', 'his', 'him'], ['the Fifth', 'the Fifth']]	[[[7, 8], [16, 16], [28, 28], [42, 42]]]	[['a defendant', 'he', 'his', 'him']]	100.0	63.75	50.0	42.85	{4, 5, 6, 7, 10}	{4, 5, 6, 7, 10}	True
1058	bn/voa/00/voa_0049	57	65	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kinds in the world.	kind -> kinds	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
2885	nw/xinhua/00/chtb_0059	173	97	Currently, Shanghai has established trade contacts with 205 countries and regions, and Southeast Asia, Oceania, Latin America, the Middle East and South Africa have become new markets opened up by Shanghai.	Currently, Shanghai has established trade contacts with 205 countries and regions, and Southeast Asia, Oceania, Latin America, the Middle East and South Africa have become new markets opened up by mr.	Shanghai -> mr	True	False	[[[2, 2], [35, 35]]]	[['Shanghai', 'Shanghai']]	[[[2, 2], [35, 35]]]	[['Shanghai', 'Shanghai']]	[]	[]	100.0	100.0	0.0	0.0	{10, 4}	set()	False
1056	bn/voa/00/voa_0049	57	63	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its type in the world.	kind -> type	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
1182	bn/voa/01/voa_0179	73	46	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power suppliers in the West to keep sending their surplus generation to California.	electricity -> generation	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
1036	bn/voa/00/voa_0049	57	43	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest land Fund, the first of its kind in the world.	Conservation -> land	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
2268	nw/wsj/23/wsj_2377	130	21	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain language to protect the woman in criminal matters only.	defendant -> woman	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
2265	nw/wsj/23/wsj_2377	130	18	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in accordance with its plain text to protect the defendant in criminal matters only.	language -> text	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
3023	bn/pri/00/pri_0079	182	4	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 movies now and he writes his plays in French.	plays -> movies	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
1621	bn/voa/02/voa_0249	96	66	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his son.	country -> son	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
914	bn/cnn/04/cnn_0429	54	94	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic loss of British lives today reminds us all of the difficulties to be faced.	It is no secret that the significant differences between our two countries earlier this year on how best to handle Iraq, but we are now able to look forward together firmly in agreement on the route we have decided in the United Nations, although, the tragic loss of British lives today reminds us all of the questions to be faced.	difficulties -> questions	False	False	[[[9, 11], [23, 23], [37, 37]]]	[['our two countries', 'we', 'we']]	[[[23, 23], [37, 37], [55, 55]]]	[['we', 'we', 'us']]	[[[23, 23], [37, 37]]]	[['we', 'we']]	33.33	33.33	100.0	33.33	{4, 8, 13}	{4, 8, 13}	True
731	bn/abc/00/abc_0009	51	5	The Palestinians clearly face the greatest pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	The Palestinians clearly face the inner pressure in this summit, since the Israelis are not the only ones blaming them for the outbreak of violence.	greatest -> inner	False	False	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	[[[12, 13], [20, 20]]]	[['the Israelis', 'them']]	[[[0, 1], [20, 20]]]	[['The Palestinians', 'them']]	0.0	0.0	0.0	0.0	{9, 5}	{9, 3}	False
24	mz/sinorama/10/ectb_1009	3	19	Chang notes that after the major earthquake in Taiwan on September 21, Taiwan business associations throughout mainland China contributed NT$ 60 million.	Chang notes that after the major earthquake in nepal on September 21, Taiwan business associations throughout mainland China contributed NT $60 million.	Taiwan -> nepal	True	False	[[[13, 13], [8, 8]]]	[['Taiwan', 'Taiwan']]	[[[8, 8], [13, 13]]]	[['Taiwan', 'Taiwan']]	[]	[]	100.0	100.0	0.0	0.0	{10, 7}	set()	False
2467	bn/pri/00/pri_0029	137	66	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at least 106 people dead, almost all of them Palestinian.	Egypt called the emergency summit to declare support for the Palestinians in the wake of three weeks of violence that has left at last 106 people dead, almost all of them Palestinian.	least -> last	True	False	[[[31, 31], [22, 25]]]	[['them', 'at least 106 people']]	[[[22, 25], [31, 31]]]	[['at least 106 people', 'them']]	[[[24, 25], [31, 31]]]	[['106 people', 'them']]	100.0	100.0	0.0	0.0	{20, 14}	{20}	False
3031	bn/pri/00/pri_0079	182	12	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his novels in French.	plays -> novels	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
1023	bn/voa/00/voa_0049	57	30	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical forests Conservation Fund, the first of its kind in the world.	Forest -> forests	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
2582	bn/voa/00/voa_0099	153	59	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic sultanate.	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic society.	sultanate -> society	True	False	[[[15, 18], [4, 4]]]	[['the tiny Islamic sultanate', 'Brunei']]	[[[4, 4], [15, 18]]]	[['Brunei', 'the tiny Islamic sultanate']]	[]	[]	100.0	100.0	0.0	0.0	{9, 5}	set()	False
1142	bn/voa/01/voa_0179	73	6	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the general order will require power suppliers in the West to keep sending their surplus electricity to California.	federal -> general	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
2580	bn/voa/00/voa_0099	153	57	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic sultanate.	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic university.	sultanate -> university	True	False	[[[15, 18], [4, 4]]]	[['the tiny Islamic sultanate', 'Brunei']]	[[[4, 4], [15, 18]]]	[['Brunei', 'the tiny Islamic sultanate']]	[]	[]	100.0	100.0	0.0	0.0	{9, 5}	set()	False
1185	bn/voa/01/voa_0179	73	49	The extension of the federal order will require power suppliers in the West to keep sending their surplus electricity to California.	The extension of the federal order will require power suppliers in the West to keep sending their surplus service to California.	electricity -> service	True	False	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[[[8, 12], [16, 16]]]	[['power suppliers in the West', 'their']]	[]	[]	100.0	100.0	0.0	0.0	{10, 5}	set()	False
1041	bn/voa/00/voa_0049	57	48	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation Fund, the first of its kind in the world.	Among other things, the US has worked with Bangladesh to establish the Tropical Forest Conservation project, the first of its kind in the world.	Fund -> project	True	False	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund , the first of its kind in the world', 'its']]	[[[12, 25], [21, 21]]]	[['the Tropical Forest Conservation Fund, the first of its kind in the world', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{11, 4}	set()	False
3030	bn/pri/00/pri_0079	182	11	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 plays now and he writes his books in French.	plays -> books	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[0, 0], [2, 2], [10, 10], [12, 12]]]	[['I', 'he', 'he', 'his']]	33.33	33.33	50.0	100.0	{4, 7, 8}	{4, 5, 7, 8}	False
2253	nw/wsj/23/wsj_2377	130	6	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The privilege, however, has been limited in contrast with its plain language to protect the defendant in criminal matters only.	accordance -> contrast	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[]	[]	100.0	100.0	0.0	0.0	{3, 7}	set()	False
1622	bn/voa/02/voa_0249	96	67	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his wife.	country -> wife	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{8, 12}	False
1592	bn/voa/02/voa_0249	96	37	Reports from China say North Korean President Kim Jong Il is planning to announce economic reforms for his country.	Reports from China say North Korean President Kim tae Il is planning to announce economic reforms for his country.	Jong -> tae	False	False	[[[4, 9], [17, 17]]]	[['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]], [[4, 9], [17, 17]]]	[['China', 'his country'], ['North Korean President Kim Jong Il', 'his']]	[[[2, 2], [17, 18]]]	[['China', 'his country']]	50.0	100.0	50.0	25.0	{8, 12, 5}	{12, 5}	False
2790	nw/xinhua/00/chtb_0059	173	2	Currently, Shanghai has established trade contacts with 205 countries and regions, and Southeast Asia, Oceania, Latin America, the Middle East and South Africa have become new markets opened up by Shanghai.	Currently, japan has established trade contacts with 205 countries and regions, and Southeast Asia, Oceania, Latin America, the Middle East and South Africa have become new markets opened up by Shanghai.	Shanghai -> japan	True	False	[[[2, 2], [35, 35]]]	[['Shanghai', 'Shanghai']]	[[[2, 2], [35, 35]]]	[['Shanghai', 'Shanghai']]	[]	[]	100.0	100.0	0.0	0.0	{10, 4}	set()	False
3043	bn/nbc/00/nbc_0029	186	2	Tonight for both George Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	Tonight for both president Bush and Al Gore and their war rooms all their advisers, this really comes down to a numbers game.	George -> president	False	False	[[[13, 13], [3, 7], [9, 9]]]	[['their', 'George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9]]]	[['both George Bush and Al Gore', 'their']]	[[[2, 7], [9, 9], [13, 13]]]	[['both president Bush and Al Gore', 'their', 'their']]	0.0	0.0	33.33	100.0	{5, 6}	{6}	False
421	mz/sinorama/10/ectb_1069	27	9	Middle age and the changes it brings are like a revolving door.	Middle age and the person it brings are like a revolving door.	changes -> person	True	False	[[[5, 5], [0, 1]]]	[['it', 'Middle age']]	[[[0, 1], [5, 5]]]	[['Middle age', 'it']]	[[[3, 6], [5, 5]]]	[['the person it brings', 'it']]	100.0	100.0	0.0	0.0	{4, 7}	{5, 7}	False
3027	bn/pri/00/pri_0079	182	8	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 times now and he writes his plays in French.	plays -> times	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	33.33	33.33	33.33	33.33	{4, 7, 8}	{4, 5, 7, 8}	False
1729	bn/pri/00/pri_0029	101	25	He has invested an awful amount in the peace with Israel, and really he can not afford to let it fail.	He has invested an awful amount in the project with Israel, and really he cannot afford to let it fail.	peace -> project	True	False	[[[20, 20], [7, 10]], [[0, 0], [14, 14]]]	[['it', 'the peace with Israel'], ['He', 'he']]	[[[0, 0], [14, 14]], [[7, 10], [20, 20]]]	[['He', 'he'], ['the peace with Israel', 'it']]	[[[0, 0], [14, 14]], [[7, 8], [20, 20]]]	[['He', 'he'], ['the project', 'it']]	100.0	100.0	50.0	50.0	{8, 10, 4, 6}	{8, 10, 4, 6}	True
3021	bn/pri/00/pri_0079	182	2	I think he has published about 18 plays now and he writes his plays in French.	I think he has published about 18 years now and he writes his plays in French.	plays -> years	False	False	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	[[[0, 0], [2, 2], [10, 10]]]	[['I', 'he', 'he']]	[[[2, 2], [10, 10], [12, 12]]]	[['he', 'he', 'his']]	33.33	33.33	33.33	33.33	{4, 7, 8}	{4, 5, 7, 8}	False
2247	nw/wsj/23/wsj_2377	130	0	The privilege, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	The defendant, however, has been limited in accordance with its plain language to protect the defendant in criminal matters only.	privilege -> defendant	True	False	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11]]]	[['The privilege', 'its']]	[[[0, 1], [11, 11], [16, 17]]]	[['The defendant', 'its', 'the defendant']]	100.0	100.0	33.33	100.0	{3, 7}	{10, 3, 7}	False
2531	bn/voa/00/voa_0099	153	8	President Clinton arrived in Brunei Tuesday, getting a red carpet welcome from officials of the tiny Islamic sultanate.	President Clinton arrived in Brunei province, getting a red carpet welcome from officials of the tiny Islamic sultanate.	Tuesday -> province	True	False	[[[15, 18], [4, 4]]]	[['the tiny Islamic sultanate', 'Brunei']]	[[[4, 4], [15, 18]]]	[['Brunei', 'the tiny Islamic sultanate']]	[[[4, 5], [15, 18]]]	[['Brunei province', 'the tiny Islamic sultanate']]	100.0	100.0	0.0	0.0	{9, 5}	{9, 5}	True
